hour_of_the_year;hour_of_the_day;day;electricity_consumption
2833;1;119;0.1875835
2834;2;119;0.16691075
2835;3;119;0.18527925
2836;4;119;0.19264175
2837;5;119;0.195479
2838;6;119;0.19665525
2839;7;119;0.19930425
2840;8;119;0.9326925
2841;9;119;0.52564625
2842;10;119;0.20924425
2843;11;119;0.17903375
2844;12;119;0.76657425
2845;13;119;0.19353775
2846;14;119;0.274478
2847;15;119;0.36846625
2848;16;119;0.19551225
2849;17;119;0.4048455
2850;18;119;0.83421275
2851;19;119;0.9094785
2852;20;119;0.40971175
2853;21;119;0.312649
2854;22;119;0.348198
2855;23;119;0.292652
2856;24;119;0.18138275
