hour_of_the_year;hour_of_the_day;day;electricity_consumption
6721;1;281;0.196546
6722;2;281;0.19645625
6723;3;281;0.19404175
6724;4;281;0.189426
6725;5;281;0.18776275
6726;6;281;0.24755025
6727;7;281;0.291933
6728;8;281;0.25293775
6729;9;281;0.343222
6730;10;281;0.19694725
6731;11;281;0.26394775
6732;12;281;0.42050925
6733;13;281;0.53148675
6734;14;281;1.71605025
6735;15;281;0.6303125
6736;16;281;0.387502
6737;17;281;0.453066
6738;18;281;0.427855
6739;19;281;0.44866025
6740;20;281;0.19415325
6741;21;281;0.198016
6742;22;281;0.36422825
6743;23;281;0.4380455
6744;24;281;0.5668025
