hour_of_the_year;hour_of_the_day;day;electricity_consumption
1993;1;84;0.38525925
1994;2;84;0.3468555
1995;3;84;0.26713325
1996;4;84;0.30616575
1997;5;84;0.2828815
1998;6;84;0.28257475
1999;7;84;0.3109525
2000;8;84;0.3108415
2001;9;84;0.29307025
2002;10;84;0.25739475
2003;11;84;0.272843
2004;12;84;0.258637
2005;13;84;0.592206
2006;14;84;0.26020225
2007;15;84;0.39939575
2008;16;84;0.2780865
2009;17;84;0.28929925
2010;18;84;1.05315625
2011;19;84;0.34578525
2012;20;84;0.51399025
2013;21;84;0.620706
2014;22;84;0.579821
2015;23;84;0.2789995
2016;24;84;0.2892405
