hour_of_the_year;hour_of_the_day;day;electricity_consumption
2185;1;92;0.28785425
2186;2;92;0.28544925
2187;3;92;0.283661
2188;4;92;0.270861
2189;5;92;0.2787025
2190;6;92;0.28328025
2191;7;92;0.28509725
2192;8;92;0.26252475
2193;9;92;0.276543
2194;10;92;0.2839325
2195;11;92;0.73367925
2196;12;92;0.85912275
2197;13;92;0.43379075
2198;14;92;0.41850325
2199;15;92;1.19518425
2200;16;92;1.76207575
2201;17;92;0.28031925
2202;18;92;0.83571125
2203;19;92;0.79443525
2204;20;92;0.40779775
2205;21;92;0.33822375
2206;22;92;0.431448
2207;23;92;0.97248575
2208;24;92;0.55557525
