hour_of_the_year;hour_of_the_day;day;electricity_consumption
5641;1;236;0.1877375
5642;2;236;0.232319
5643;3;236;0.19675675
5644;4;236;0.197531
5645;5;236;0.194297
5646;6;236;0.60299225
5647;7;236;0.52521475
5648;8;236;0.66410075
5649;9;236;0.1898015
5650;10;236;0.62914575
5651;11;236;0.1955545
5652;12;236;0.19747475
5653;13;236;0.448305
5654;14;236;2.26972575
5655;15;236;0.84093425
5656;16;236;0.36273725
5657;17;236;0.1995345
5658;18;236;0.35566
5659;19;236;1.630767
5660;20;236;1.08945375
5661;21;236;1.198109
5662;22;236;0.73496425
5663;23;236;0.416398
5664;24;236;0.46422175
