hour_of_the_year;hour_of_the_day;day;electricity_consumption
5665;1;237;0.2693825
5666;2;237;0.2015155
5667;3;237;0.20078775
5668;4;237;0.1658405
5669;5;237;0.20260425
5670;6;237;0.3939175
5671;7;237;0.2466935
5672;8;237;0.18418975
5673;9;237;0.286232
5674;10;237;0.19619475
5675;11;237;0.19442825
5676;12;237;0.2016915
5677;13;237;0.18842375
5678;14;237;0.916512
5679;15;237;0.2750855
5680;16;237;0.341838
5681;17;237;0.787434
5682;18;237;1.25809025
5683;19;237;0.6652705
5684;20;237;0.854557
5685;21;237;0.520166
5686;22;237;0.53716425
5687;23;237;0.302383
5688;24;237;0.1849085
