hour_of_the_year;hour_of_the_day;day;electricity_consumption
5065;1;212;0.24456725
5066;2;212;0.28812975
5067;3;212;0.178681
5068;4;212;0.194951
5069;5;212;0.18838125
5070;6;212;0.20349375
5071;7;212;0.192937
5072;8;212;0.18290525
5073;9;212;0.174173
5074;10;212;0.30304125
5075;11;212;0.24575325
5076;12;212;0.5447765
5077;13;212;0.42017125
5078;14;212;0.18482125
5079;15;212;0.194959
5080;16;212;0.53020825
5081;17;212;0.2203025
5082;18;212;0.4372655
5083;19;212;0.99095325
5084;20;212;0.31258175
5085;21;212;1.04641125
5086;22;212;1.205381
5087;23;212;0.52862675
5088;24;212;0.349203
