hour_of_the_year;hour_of_the_day;day;electricity_consumption
2953;1;124;0.36012725
2954;2;124;0.18903025
2955;3;124;0.18586225
2956;4;124;0.20190375
2957;5;124;0.1957755
2958;6;124;0.1983605
2959;7;124;0.28980275
2960;8;124;0.190041
2961;9;124;0.1751685
2962;10;124;0.1778795
2963;11;124;0.16923125
2964;12;124;0.18502175
2965;13;124;0.53976475
2966;14;124;0.9931975
2967;15;124;0.62726575
2968;16;124;0.3901445
2969;17;124;0.4928
2970;18;124;0.41519825
2971;19;124;0.48423425
2972;20;124;0.43206025
2973;21;124;0.34083575
2974;22;124;0.47214025
2975;23;124;0.334349
2976;24;124;0.3126335
