hour_of_the_year;hour_of_the_day;day;electricity_consumption
1153;1;49;0.28146575
1154;2;49;0.2620845
1155;3;49;0.2866895
1156;4;49;0.287286
1157;5;49;0.2808685
1158;6;49;0.275183
1159;7;49;0.4049755
1160;8;49;0.4174175
1161;9;49;0.40542075
1162;10;49;1.2421725
1163;11;49;0.941453
1164;12;49;0.34878025
1165;13;49;0.53150625
1166;14;49;0.2916125
1167;15;49;0.287986
1168;16;49;0.336158
1169;17;49;0.5222125
1170;18;49;0.54942675
1171;19;49;0.795886
1172;20;49;0.89584225
1173;21;49;0.570497
1174;22;49;0.7022665
1175;23;49;0.48660675
1176;24;49;0.427357
