hour_of_the_year;hour_of_the_day;day;electricity_consumption
6529;1;273;0.1791305
6530;2;273;0.19408825
6531;3;273;0.19462625
6532;4;273;0.196268
6533;5;273;0.2747245
6534;6;273;0.22540275
6535;7;273;0.19971475
6536;8;273;0.1913415
6537;9;273;0.180587
6538;10;273;0.95892275
6539;11;273;0.49878125
6540;12;273;0.89919225
6541;13;273;0.87941725
6542;14;273;0.21321625
6543;15;273;0.26072475
6544;16;273;0.62703025
6545;17;273;0.49413625
6546;18;273;0.1895495
6547;19;273;0.1793445
6548;20;273;0.234567
6549;21;273;0.29335975
6550;22;273;1.04485375
6551;23;273;0.9896215
6552;24;273;0.32231225
