hour_of_the_year;hour_of_the_day;day;electricity_consumption
4513;1;189;0.17234675
4514;2;189;0.18836575
4515;3;189;0.19313925
4516;4;189;0.196732
4517;5;189;0.19050425
4518;6;189;0.18366975
4519;7;189;0.192573
4520;8;189;0.1950625
4521;9;189;0.1895225
4522;10;189;0.3900315
4523;11;189;0.40724975
4524;12;189;0.95069125
4525;13;189;0.85646375
4526;14;189;0.2178
4527;15;189;0.19380275
4528;16;189;0.19604425
4529;17;189;0.229485
4530;18;189;0.23768825
4531;19;189;0.37257225
4532;20;189;0.57983225
4533;21;189;0.39631825
4534;22;189;0.3730315
4535;23;189;0.28712025
4536;24;189;0.48061975
