hour_of_the_year;hour_of_the_day;day;electricity_consumption
6697;1;280;0.1891315
6698;2;280;0.1901065
6699;3;280;0.19503325
6700;4;280;0.197044
6701;5;280;0.197299
6702;6;280;0.23672525
6703;7;280;0.27308975
6704;8;280;0.441262
6705;9;280;0.20288425
6706;10;280;0.2467145
6707;11;280;0.1839875
6708;12;280;0.23435225
6709;13;280;1.10075175
6710;14;280;0.52211125
6711;15;280;0.807039
6712;16;280;0.2018845
6713;17;280;0.2029985
6714;18;280;0.9277495
6715;19;280;0.727295
6716;20;280;0.659666
6717;21;280;0.560225
6718;22;280;0.52889075
6719;23;280;0.52261025
6720;24;280;0.202995
