hour_of_the_year;hour_of_the_day;day;electricity_consumption
4921;1;206;0.41822875
4922;2;206;0.2208805
4923;3;206;0.19490625
4924;4;206;0.19352275
4925;5;206;0.37171
4926;6;206;0.5898275
4927;7;206;0.26919775
4928;8;206;0.18687325
4929;9;206;0.72318475
4930;10;206;1.594831
4931;11;206;0.737218
4932;12;206;0.4737105
4933;13;206;0.257279
4934;14;206;0.42576275
4935;15;206;0.3074205
4936;16;206;0.64922775
4937;17;206;0.17632975
4938;18;206;0.69869575
4939;19;206;0.77695675
4940;20;206;0.71577825
4941;21;206;1.005782
4942;22;206;0.40790125
4943;23;206;0.34496225
4944;24;206;0.92923775
