hour_of_the_year;hour_of_the_day;day;electricity_consumption
7465;1;312;0.2909465
7466;2;312;0.3194045
7467;3;312;0.2836435
7468;4;312;0.282775
7469;5;312;0.28823225
7470;6;312;0.4621295
7471;7;312;0.983834
7472;8;312;0.5127265
7473;9;312;0.43718125
7474;10;312;1.67749125
7475;11;312;0.851878
7476;12;312;1.0759585
7477;13;312;0.66944025
7478;14;312;0.51302725
7479;15;312;0.37761275
7480;16;312;0.5097975
7481;17;312;1.127865
7482;18;312;0.509507
7483;19;312;0.3221645
7484;20;312;0.60211175
7485;21;312;1.46572875
7486;22;312;1.77065225
7487;23;312;1.21888325
7488;24;312;0.9767315
