hour_of_the_year;hour_of_the_day;day;electricity_consumption
6625;1;277;0.1854915
6626;2;277;0.17382825
6627;3;277;0.154469
6628;4;277;0.1925725
6629;5;277;0.27120175
6630;6;277;0.2019515
6631;7;277;0.404108
6632;8;277;0.26022175
6633;9;277;0.20260225
6634;10;277;0.27310125
6635;11;277;0.35211425
6636;12;277;0.1915455
6637;13;277;0.73073325
6638;14;277;0.8541775
6639;15;277;0.479358
6640;16;277;0.28115675
6641;17;277;0.62913125
6642;18;277;0.40518775
6643;19;277;0.521034
6644;20;277;0.74863375
6645;21;277;0.3159585
6646;22;277;0.458928
6647;23;277;0.4483915
6648;24;277;0.19356475
