hour_of_the_year;hour_of_the_day;day;electricity_consumption
8329;1;348;0.27429175
8330;2;348;0.2925595
8331;3;348;0.2977085
8332;4;348;0.32822125
8333;5;348;0.29130725
8334;6;348;0.276934
8335;7;348;0.4338625
8336;8;348;0.3116005
8337;9;348;0.28099925
8338;10;348;0.30952025
8339;11;348;0.277389
8340;12;348;0.27805125
8341;13;348;0.927359
8342;14;348;0.30457675
8343;15;348;0.30120925
8344;16;348;0.29802075
8345;17;348;0.372151
8346;18;348;0.4949155
8347;19;348;0.45855025
8348;20;348;0.4529435
8349;21;348;0.57592625
8350;22;348;0.55154925
8351;23;348;0.459446
8352;24;348;0.389579
