hour_of_the_year;hour_of_the_day;day;electricity_consumption
8185;1;342;0.28930775
8186;2;342;0.29570125
8187;3;342;0.2597895
8188;4;342;0.28079575
8189;5;342;0.322799
8190;6;342;0.32245925
8191;7;342;0.334996
8192;8;342;0.297731
8193;9;342;0.28946325
8194;10;342;0.389831
8195;11;342;0.300945
8196;12;342;0.43564525
8197;13;342;0.61326025
8198;14;342;1.1623105
8199;15;342;0.95775275
8200;16;342;0.429489
8201;17;342;0.421142
8202;18;342;0.53968025
8203;19;342;1.0810875
8204;20;342;1.059702
8205;21;342;0.51896025
8206;22;342;0.66398425
8207;23;342;0.367445
8208;24;342;0.27556925
