hour_of_the_year;hour_of_the_day;day;electricity_consumption
8065;1;337;0.68143975
8066;2;337;0.50553075
8067;3;337;0.29062575
8068;4;337;0.2710135
8069;5;337;0.26844275
8070;6;337;0.27264875
8071;7;337;0.30832825
8072;8;337;0.37347275
8073;9;337;0.39474825
8074;10;337;0.44037175
8075;11;337;0.51210875
8076;12;337;0.5039195
8077;13;337;0.39782675
8078;14;337;0.40797
8079;15;337;0.587093
8080;16;337;0.4816125
8081;17;337;1.269837
8082;18;337;1.31320475
8083;19;337;0.95723375
8084;20;337;0.65297025
8085;21;337;0.707871
8086;22;337;0.55153
8087;23;337;0.558549
8088;24;337;0.5057375
