hour_of_the_year;hour_of_the_day;day;electricity_consumption
841;1;36;0.42227475
842;2;36;0.42300025
843;3;36;0.42470025
844;4;36;0.3519265
845;5;36;0.29104025
846;6;36;0.27633875
847;7;36;0.272203
848;8;36;0.378928
849;9;36;0.44666525
850;10;36;0.9499505
851;11;36;1.5955255
852;12;36;0.4301885
853;13;36;0.3364945
854;14;36;0.38085775
855;15;36;0.3423575
856;16;36;0.45276825
857;17;36;0.3749815
858;18;36;0.70049475
859;19;36;0.83592825
860;20;36;0.68905175
861;21;36;1.434537
862;22;36;0.55357425
863;23;36;0.6156785
864;24;36;0.59252125
