hour_of_the_year;hour_of_the_day;day;electricity_consumption
5209;1;218;0.19596425
5210;2;218;0.1959335
5211;3;218;0.19570975
5212;4;218;0.1925245
5213;5;218;0.192595
5214;6;218;0.181271
5215;7;218;0.1670035
5216;8;218;0.192033
5217;9;218;0.28972025
5218;10;218;0.380469
5219;11;218;0.355682
5220;12;218;0.2587545
5221;13;218;0.2512265
5222;14;218;0.29464175
5223;15;218;0.1753825
5224;16;218;0.3032325
5225;17;218;0.46506575
5226;18;218;1.1263505
5227;19;218;1.3624585
5228;20;218;1.21016025
5229;21;218;0.54214975
5230;22;218;0.31478275
5231;23;218;0.83001675
5232;24;218;1.05380175
