hour_of_the_year;hour_of_the_day;day;electricity_consumption
2665;1;112;0.284584
2666;2;112;0.265331
2667;3;112;0.290158
2668;4;112;0.3109685
2669;5;112;0.29229025
2670;6;112;0.31347825
2671;7;112;0.30062775
2672;8;112;0.290542
2673;9;112;0.293878
2674;10;112;0.277592
2675;11;112;0.6536945
2676;12;112;0.5134515
2677;13;112;0.234256
2678;14;112;1.06956175
2679;15;112;0.92845025
2680;16;112;0.46146575
2681;17;112;0.50054125
2682;18;112;0.42098525
2683;19;112;1.07008725
2684;20;112;0.73422675
2685;21;112;0.578572
2686;22;112;0.55066925
2687;23;112;0.4431
2688;24;112;0.52167125
