hour_of_the_year;hour_of_the_day;day;electricity_consumption
5521;1;231;0.18034275
5522;2;231;0.16930775
5523;3;231;0.19640825
5524;4;231;0.194766
5525;5;231;0.19082025
5526;6;231;0.25944025
5527;7;231;0.25722225
5528;8;231;0.220675
5529;9;231;0.64712575
5530;10;231;0.1659305
5531;11;231;0.16342175
5532;12;231;0.2809225
5533;13;231;0.19562075
5534;14;231;0.2041305
5535;15;231;0.18002575
5536;16;231;0.19353725
5537;17;231;0.25850075
5538;18;231;0.61100175
5539;19;231;0.6210595
5540;20;231;0.2944745
5541;21;231;0.34045075
5542;22;231;0.52224875
5543;23;231;1.21866175
5544;24;231;0.4363075
