hour_of_the_year;hour_of_the_day;day;electricity_consumption
7993;1;334;0.409542
7994;2;334;0.40640975
7995;3;334;0.28615225
7996;4;334;0.290286
7997;5;334;0.2946275
7998;6;334;0.306668
7999;7;334;0.47376225
8000;8;334;0.37781325
8001;9;334;1.00236625
8002;10;334;0.5026935
8003;11;334;0.302066
8004;12;334;0.288903
8005;13;334;0.29155175
8006;14;334;0.28315075
8007;15;334;0.293106
8008;16;334;0.31735275
8009;17;334;0.36554175
8010;18;334;1.13133825
8011;19;334;0.718359
8012;20;334;0.41820575
8013;21;334;0.4756645
8014;22;334;0.6631465
8015;23;334;0.59160575
8016;24;334;0.34952175
