hour_of_the_year;hour_of_the_day;day;electricity_consumption
6049;1;253;0.29134725
6050;2;253;0.188282
6051;3;253;0.1942
6052;4;253;0.1711015
6053;5;253;0.1895675
6054;6;253;0.178121
6055;7;253;0.183547
6056;8;253;0.18514025
6057;9;253;0.21231075
6058;10;253;0.19951175
6059;11;253;0.194593
6060;12;253;0.198069
6061;13;253;0.19708
6062;14;253;0.30805325
6063;15;253;0.4132985
6064;16;253;0.32658375
6065;17;253;0.47921425
6066;18;253;0.59212225
6067;19;253;0.44128875
6068;20;253;0.4952035
6069;21;253;0.36368925
6070;22;253;0.19258
6071;23;253;0.33787925
6072;24;253;0.35244575
