hour_of_the_year;hour_of_the_day;day;electricity_consumption
7897;1;330;0.5456175
7898;2;330;0.3301255
7899;3;330;0.268469
7900;4;330;0.28552525
7901;5;330;0.27295625
7902;6;330;0.256583
7903;7;330;0.2596375
7904;8;330;0.413722
7905;9;330;1.068445
7906;10;330;0.476414
7907;11;330;0.63834025
7908;12;330;0.61352925
7909;13;330;0.606038
7910;14;330;1.36285475
7911;15;330;1.00127625
7912;16;330;1.42022
7913;17;330;0.6317115
7914;18;330;0.827646
7915;19;330;0.90726425
7916;20;330;0.63725025
7917;21;330;0.63446775
7918;22;330;0.6283675
7919;23;330;0.64802
7920;24;330;0.57062725
