hour_of_the_year;hour_of_the_day;day;electricity_consumption
8017;1;335;0.285931
8018;2;335;0.28634275
8019;3;335;0.273201
8020;4;335;0.26666075
8021;5;335;0.2881615
8022;6;335;0.32549075
8023;7;335;0.28581575
8024;8;335;0.4997945
8025;9;335;0.9406425
8026;10;335;0.92457825
8027;11;335;0.28577475
8028;12;335;0.45752375
8029;13;335;1.02465525
8030;14;335;0.273551
8031;15;335;0.289204
8032;16;335;0.35560375
8033;17;335;0.41395325
8034;18;335;0.37571325
8035;19;335;0.996398
8036;20;335;0.47143325
8037;21;335;0.7195375
8038;22;335;0.63628575
8039;23;335;0.5505195
8040;24;335;0.38536
