hour_of_the_year;hour_of_the_day;day;electricity_consumption
8257;1;345;0.35664875
8258;2;345;0.26683025
8259;3;345;0.3344265
8260;4;345;0.29007425
8261;5;345;0.28936275
8262;6;345;0.28762625
8263;7;345;0.29148725
8264;8;345;0.2924285
8265;9;345;0.47566825
8266;10;345;0.40228475
8267;11;345;0.38687825
8268;12;345;0.39075325
8269;13;345;0.31793725
8270;14;345;0.4964715
8271;15;345;0.56452125
8272;16;345;0.556937
8273;17;345;0.66875675
8274;18;345;0.68064325
8275;19;345;1.094997
8276;20;345;0.5836175
8277;21;345;0.62298775
8278;22;345;0.598191
8279;23;345;0.757977
8280;24;345;0.41635725
