hour_of_the_year;hour_of_the_day;day;electricity_consumption
8689;1;363;0.304573
8690;2;363;0.28465325
8691;3;363;0.26207775
8692;4;363;0.270147
8693;5;363;0.2884365
8694;6;363;0.72480725
8695;7;363;1.5856315
8696;8;363;1.33992275
8697;9;363;0.6882235
8698;10;363;0.96334625
8699;11;363;0.94680425
8700;12;363;0.30246025
8701;13;363;1.8580245
8702;14;363;1.860293
8703;15;363;0.8084735
8704;16;363;0.62796925
8705;17;363;0.6202345
8706;18;363;0.84994
8707;19;363;0.6230825
8708;20;363;0.484064
8709;21;363;0.68896575
8710;22;363;0.702222
8711;23;363;0.8088325
8712;24;363;0.5430035
