hour_of_the_year;hour_of_the_day;day;electricity_consumption
745;1;32;0.5655205
746;2;32;0.36719
747;3;32;0.3213015
748;4;32;0.274939
749;5;32;0.3074205
750;6;32;0.32202925
751;7;32;0.4616535
752;8;32;0.4103085
753;9;32;0.41141325
754;10;32;0.4544305
755;11;32;0.598768
756;12;32;0.984879
757;13;32;0.336304
758;14;32;0.40363425
759;15;32;0.45628325
760;16;32;0.5516115
761;17;32;0.8938845
762;18;32;0.67596275
763;19;32;0.661107
764;20;32;0.869337
765;21;32;0.44786525
766;22;32;0.501121
767;23;32;0.41339125
768;24;32;0.3910725
