hour_of_the_year;hour_of_the_day;day;electricity_consumption
7369;1;308;0.47511025
7370;2;308;0.26907425
7371;3;308;0.2830155
7372;4;308;0.28625425
7373;5;308;0.326004
7374;6;308;0.3374465
7375;7;308;0.4435385
7376;8;308;0.36999225
7377;9;308;0.69076675
7378;10;308;0.73344875
7379;11;308;1.38254325
7380;12;308;0.878106
7381;13;308;0.442805
7382;14;308;0.275036
7383;15;308;0.28709925
7384;16;308;0.30576125
7385;17;308;0.788867
7386;18;308;0.328116
7387;19;308;0.46625025
7388;20;308;0.54971
7389;21;308;0.9964875
7390;22;308;1.1030025
7391;23;308;0.65954925
7392;24;308;0.52837075
