hour_of_the_year;hour_of_the_day;day;electricity_consumption
2713;1;114;0.332638
2714;2;114;0.26012825
2715;3;114;0.28168875
2716;4;114;0.2745285
2717;5;114;0.2667275
2718;6;114;0.28982475
2719;7;114;0.288758
2720;8;114;0.36417025
2721;9;114;0.26358675
2722;10;114;0.2842765
2723;11;114;0.2896155
2724;12;114;0.31273675
2725;13;114;0.52716625
2726;14;114;0.67938575
2727;15;114;0.902257
2728;16;114;0.94998575
2729;17;114;0.391964
2730;18;114;0.3976975
2731;19;114;0.5627995
2732;20;114;0.58938075
2733;21;114;1.3534465
2734;22;114;0.51378875
2735;23;114;0.27189575
2736;24;114;0.3111895
