hour_of_the_year;hour_of_the_day;day;electricity_consumption
7489;1;313;0.45767975
7490;2;313;0.4332655
7491;3;313;0.322739
7492;4;313;0.286688
7493;5;313;0.312367
7494;6;313;0.41167475
7495;7;313;0.55671025
7496;8;313;0.3370295
7497;9;313;0.37228125
7498;10;313;0.4189825
7499;11;313;0.2912885
7500;12;313;1.36968475
7501;13;313;1.01325
7502;14;313;0.821394
7503;15;313;0.50730975
7504;16;313;0.54648625
7505;17;313;0.51612525
7506;18;313;0.55661925
7507;19;313;0.5259205
7508;20;313;0.687437
7509;21;313;0.87665725
7510;22;313;0.713773
7511;23;313;0.62400175
7512;24;313;0.35699425
