hour_of_the_year;hour_of_the_day;day;electricity_consumption
2905;1;122;0.4121245
2906;2;122;0.368718
2907;3;122;0.19641
2908;4;122;0.195536
2909;5;122;0.18512825
2910;6;122;0.18410575
2911;7;122;0.187375
2912;8;122;0.17518125
2913;9;122;0.37094475
2914;10;122;0.2144615
2915;11;122;0.19508075
2916;12;122;0.238431
2917;13;122;1.083351
2918;14;122;0.8666315
2919;15;122;0.21058575
2920;16;122;0.19921025
2921;17;122;0.67865525
2922;18;122;0.827501
2923;19;122;2.02599575
2924;20;122;0.75285675
2925;21;122;0.3129315
2926;22;122;0.31326125
2927;23;122;0.30166775
2928;24;122;0.195139
