hour_of_the_year;hour_of_the_day;day;electricity_consumption
1537;1;65;0.643683
1538;2;65;0.48633725
1539;3;65;0.4888625
1540;4;65;0.27459625
1541;5;65;0.2859065
1542;6;65;0.3852915
1543;7;65;0.3941415
1544;8;65;0.4124155
1545;9;65;0.3564095
1546;10;65;0.5161795
1547;11;65;0.4140465
1548;12;65;0.36656475
1549;13;65;0.500435
1550;14;65;0.4209975
1551;15;65;0.377565
1552;16;65;0.4439085
1553;17;65;0.937367
1554;18;65;1.03737075
1555;19;65;0.618362
1556;20;65;0.98029825
1557;21;65;1.02481475
1558;22;65;0.58303075
1559;23;65;0.59360325
1560;24;65;0.65201475
