hour_of_the_year;hour_of_the_day;day;electricity_consumption
6145;1;257;0.18216375
6146;2;257;0.19736
6147;3;257;0.19473175
6148;4;257;0.19064275
6149;5;257;0.19477825
6150;6;257;0.2905935
6151;7;257;0.3346035
6152;8;257;0.658665
6153;9;257;0.385075
6154;10;257;0.410642
6155;11;257;0.41624075
6156;12;257;1.0652635
6157;13;257;0.411447
6158;14;257;0.32212275
6159;15;257;0.18683275
6160;16;257;0.75987125
6161;17;257;0.8785045
6162;18;257;0.52286575
6163;19;257;0.60535275
6164;20;257;0.56400925
6165;21;257;0.3915285
6166;22;257;0.196921
6167;23;257;0.19852125
6168;24;257;0.19730875
