hour_of_the_year;hour_of_the_day;day;electricity_consumption
8569;1;358;0.47038175
8570;2;358;0.4681485
8571;3;358;0.28156225
8572;4;358;0.27941225
8573;5;358;0.3011625
8574;6;358;0.2575925
8575;7;358;0.2885755
8576;8;358;0.3985545
8577;9;358;0.5103805
8578;10;358;1.092915
8579;11;358;0.782551
8580;12;358;0.871904
8581;13;358;1.16092225
8582;14;358;0.3829805
8583;15;358;0.43217875
8584;16;358;0.288973
8585;17;358;0.37553175
8586;18;358;0.41786675
8587;19;358;1.17158825
8588;20;358;1.225264
8589;21;358;0.62446
8590;22;358;0.75977975
8591;23;358;0.484878
8592;24;358;0.4784715
