hour_of_the_year;hour_of_the_day;day;electricity_consumption
5137;1;215;0.20160475
5138;2;215;0.19021
5139;3;215;0.18520525
5140;4;215;0.206967
5141;5;215;0.252123
5142;6;215;0.21354375
5143;7;215;0.59306875
5144;8;215;0.34588375
5145;9;215;0.22845775
5146;10;215;0.19495925
5147;11;215;0.16986275
5148;12;215;0.18214125
5149;13;215;0.2188695
5150;14;215;0.79734575
5151;15;215;0.83491875
5152;16;215;0.50988325
5153;17;215;1.53015925
5154;18;215;0.837536
5155;19;215;1.47697425
5156;20;215;0.47240125
5157;21;215;0.49656125
5158;22;215;0.47579
5159;23;215;0.207019
5160;24;215;0.196663
