hour_of_the_year;hour_of_the_day;day;electricity_consumption
7585;1;317;0.38435775
7586;2;317;0.2948215
7587;3;317;0.29374225
7588;4;317;0.29393375
7589;5;317;0.2903965
7590;6;317;0.2823555
7591;7;317;0.2749065
7592;8;317;0.2951435
7593;9;317;0.3901325
7594;10;317;0.361963
7595;11;317;0.31023475
7596;12;317;0.2820355
7597;13;317;0.4098145
7598;14;317;0.29021375
7599;15;317;0.54948375
7600;16;317;0.49800825
7601;17;317;0.60962475
7602;18;317;0.6937805
7603;19;317;1.38042275
7604;20;317;0.58700525
7605;21;317;0.64617625
7606;22;317;0.59775025
7607;23;317;0.45451625
7608;24;317;0.33385775
