hour_of_the_year;hour_of_the_day;day;electricity_consumption
1825;1;77;0.3946815
1826;2;77;0.269732
1827;3;77;0.2664895
1828;4;77;0.268258
1829;5;77;0.28906525
1830;6;77;0.2933435
1831;7;77;0.383494
1832;8;77;0.39813575
1833;9;77;0.31477
1834;10;77;0.51317225
1835;11;77;0.43167175
1836;12;77;0.25445675
1837;13;77;0.37281
1838;14;77;0.5061875
1839;15;77;0.50034475
1840;16;77;0.5013905
1841;17;77;0.3841365
1842;18;77;0.61209025
1843;19;77;0.47983975
1844;20;77;0.5524955
1845;21;77;0.82824175
1846;22;77;0.85496875
1847;23;77;0.4820945
1848;24;77;0.493139
