hour_of_the_year;hour_of_the_day;day;electricity_consumption
8281;1;346;0.28867475
8282;2;346;0.2881245
8283;3;346;0.2869245
8284;4;346;0.2872465
8285;5;346;0.29009
8286;6;346;0.2897005
8287;7;346;0.3717035
8288;8;346;0.45635225
8289;9;346;0.4097675
8290;10;346;0.32581175
8291;11;346;0.39147425
8292;12;346;0.3551025
8293;13;346;0.29430025
8294;14;346;0.28783575
8295;15;346;0.3266655
8296;16;346;0.38462325
8297;17;346;0.4015605
8298;18;346;0.5446895
8299;19;346;0.65434625
8300;20;346;0.7338695
8301;21;346;0.6256545
8302;22;346;0.72363225
8303;23;346;0.49458325
8304;24;346;0.40692325
