hour_of_the_year;hour_of_the_day;day;electricity_consumption
3289;1;138;0.17984775
3290;2;138;0.19866875
3291;3;138;0.192515
3292;4;138;0.1969965
3293;5;138;0.280905
3294;6;138;0.210384
3295;7;138;0.2036645
3296;8;138;0.18306075
3297;9;138;0.5206535
3298;10;138;0.938563
3299;11;138;0.996751
3300;12;138;0.1669375
3301;13;138;0.18161175
3302;14;138;0.21749025
3303;15;138;0.21579425
3304;16;138;0.36843475
3305;17;138;0.5645095
3306;18;138;0.57361425
3307;19;138;0.47482125
3308;20;138;0.52949
3309;21;138;0.70546925
3310;22;138;0.51241675
3311;23;138;0.946405
3312;24;138;0.421597
