hour_of_the_year;hour_of_the_day;day;electricity_consumption
6961;1;291;0.3860495
6962;2;291;0.276345
6963;3;291;0.280119
6964;4;291;0.2821215
6965;5;291;0.3357655
6966;6;291;0.57308025
6967;7;291;0.44466825
6968;8;291;0.291539
6969;9;291;0.279077
6970;10;291;0.2745345
6971;11;291;0.288587
6972;12;291;0.316083
6973;13;291;0.60466275
6974;14;291;0.73997775
6975;15;291;0.4536965
6976;16;291;0.50375675
6977;17;291;0.414674
6978;18;291;0.39411275
6979;19;291;0.805462
6980;20;291;1.05758375
6981;21;291;1.407
6982;22;291;0.995203
6983;23;291;0.38116675
6984;24;291;0.3046485
