hour_of_the_year;hour_of_the_day;day;electricity_consumption
1201;1;51;0.31221575
1202;2;51;0.2737155
1203;3;51;0.26730175
1204;4;51;0.27388825
1205;5;51;0.36811975
1206;6;51;0.42747175
1207;7;51;0.3691925
1208;8;51;0.28943325
1209;9;51;0.426508
1210;10;51;0.51935975
1211;11;51;0.54833375
1212;12;51;0.41889275
1213;13;51;0.50384175
1214;14;51;0.53242225
1215;15;51;0.87808125
1216;16;51;0.5080615
1217;17;51;1.2991165
1218;18;51;0.924511
1219;19;51;0.75483225
1220;20;51;0.7461335
1221;21;51;0.4742545
1222;22;51;0.73835375
1223;23;51;0.5598975
1224;24;51;0.491901
