hour_of_the_year;hour_of_the_day;day;electricity_consumption
7345;1;307;0.428
7346;2;307;0.27702625
7347;3;307;0.27789625
7348;4;307;0.26494475
7349;5;307;0.31207825
7350;6;307;0.305714
7351;7;307;0.28343075
7352;8;307;0.31513775
7353;9;307;0.317865
7354;10;307;0.2914385
7355;11;307;0.29630125
7356;12;307;0.28772475
7357;13;307;0.26290525
7358;14;307;0.2479565
7359;15;307;0.42073525
7360;16;307;0.519845
7361;17;307;0.82626575
7362;18;307;0.82455375
7363;19;307;1.0005525
7364;20;307;0.80336275
7365;21;307;1.3146705
7366;22;307;1.380533
7367;23;307;0.432729
7368;24;307;0.40759375
