hour_of_the_year;hour_of_the_day;day;electricity_consumption
3145;1;132;0.20238325
3146;2;132;0.19763175
3147;3;132;0.220445
3148;4;132;0.193135
3149;5;132;0.17890425
3150;6;132;0.1802765
3151;7;132;0.18353725
3152;8;132;0.400236
3153;9;132;0.78695175
3154;10;132;0.84931875
3155;11;132;0.63875675
3156;12;132;1.01059775
3157;13;132;0.331209
3158;14;132;0.9627055
3159;15;132;0.383287
3160;16;132;0.410024
3161;17;132;0.72651625
3162;18;132;1.36640775
3163;19;132;0.6595905
3164;20;132;0.99673075
3165;21;132;0.71694375
3166;22;132;1.205599
3167;23;132;0.8213845
3168;24;132;0.35632875
