hour_of_the_year;hour_of_the_day;day;electricity_consumption
7921;1;331;0.41386725
7922;2;331;0.27885725
7923;3;331;0.279755
7924;4;331;0.2835905
7925;5;331;0.32113425
7926;6;331;0.405657
7927;7;331;0.3847055
7928;8;331;0.5609845
7929;9;331;0.858389
7930;10;331;1.130543
7931;11;331;1.5230155
7932;12;331;0.72988325
7933;13;331;1.39049325
7934;14;331;1.2398735
7935;15;331;0.647748
7936;16;331;0.635063
7937;17;331;0.35133275
7938;18;331;0.48763925
7939;19;331;0.928999
7940;20;331;2.2733505
7941;21;331;0.79891175
7942;22;331;0.71536275
7943;23;331;0.68699325
7944;24;331;0.4641105
