hour_of_the_year;hour_of_the_day;day;electricity_consumption
7321;1;306;0.290588
7322;2;306;0.28588925
7323;3;306;0.28808425
7324;4;306;0.28843975
7325;5;306;0.27671125
7326;6;306;0.27410725
7327;7;306;0.606126
7328;8;306;0.426343
7329;9;306;0.26619275
7330;10;306;0.378901
7331;11;306;0.284569
7332;12;306;0.28526425
7333;13;306;0.286289
7334;14;306;0.285515
7335;15;306;0.3055275
7336;16;306;0.283044
7337;17;306;0.324525
7338;18;306;0.541115
7339;19;306;0.591117
7340;20;306;0.69641825
7341;21;306;0.6289235
7342;22;306;0.64557625
7343;23;306;0.684194
7344;24;306;0.5894955
