hour_of_the_year;hour_of_the_day;day;electricity_consumption
6865;1;287;0.1784585
6866;2;287;0.20056975
6867;3;287;0.20319175
6868;4;287;0.20041675
6869;5;287;0.19863475
6870;6;287;0.60913725
6871;7;287;0.26644825
6872;8;287;0.2005305
6873;9;287;0.179394
6874;10;287;0.19239125
6875;11;287;0.25077875
6876;12;287;0.6069995
6877;13;287;1.0322205
6878;14;287;0.39945
6879;15;287;0.20393575
6880;16;287;0.209286
6881;17;287;0.65509625
6882;18;287;0.523817
6883;19;287;0.56064525
6884;20;287;0.52439175
6885;21;287;0.5562165
6886;22;287;0.5712435
6887;23;287;0.4150965
6888;24;287;0.307854
