hour_of_the_year;hour_of_the_day;day;electricity_consumption
3649;1;153;0.21948125
3650;2;153;0.1951495
3651;3;153;0.19437675
3652;4;153;0.17745475
3653;5;153;0.17673025
3654;6;153;0.25073675
3655;7;153;0.27798625
3656;8;153;0.17245125
3657;9;153;0.6733025
3658;10;153;0.58721825
3659;11;153;0.3772165
3660;12;153;0.19376775
3661;13;153;0.6165425
3662;14;153;0.654635
3663;15;153;0.38568575
3664;16;153;0.17834925
3665;17;153;0.25757775
3666;18;153;0.86593825
3667;19;153;0.45957075
3668;20;153;1.28558825
3669;21;153;1.41965625
3670;22;153;0.5725665
3671;23;153;0.3572745
3672;24;153;0.225655
