hour_of_the_year;hour_of_the_day;day;electricity_consumption
5305;1;222;0.181812
5306;2;222;0.178551
5307;3;222;0.195257
5308;4;222;0.19596075
5309;5;222;0.19638475
5310;6;222;0.2281955
5311;7;222;0.204725
5312;8;222;0.17354
5313;9;222;0.1856655
5314;10;222;0.179433
5315;11;222;0.19826075
5316;12;222;0.194003
5317;13;222;0.2479205
5318;14;222;0.5580305
5319;15;222;0.70457
5320;16;222;0.815364
5321;17;222;0.97291125
5322;18;222;0.54323075
5323;19;222;0.45323975
5324;20;222;0.93794525
5325;21;222;1.03423075
5326;22;222;0.5952865
5327;23;222;0.45189125
5328;24;222;0.30848175
