hour_of_the_year;hour_of_the_day;day;electricity_consumption
6073;1;254;0.165729
6074;2;254;0.1877925
6075;3;254;0.184094
6076;4;254;0.247037
6077;5;254;0.19721175
6078;6;254;0.19739
6079;7;254;0.1946415
6080;8;254;0.2013135
6081;9;254;0.283399
6082;10;254;0.287914
6083;11;254;0.1857865
6084;12;254;0.48403675
6085;13;254;1.530719
6086;14;254;1.17004075
6087;15;254;0.3447935
6088;16;254;0.395149
6089;17;254;0.71479825
6090;18;254;0.55857
6091;19;254;0.86188825
6092;20;254;0.84447575
6093;21;254;0.162379
6094;22;254;1.09093875
6095;23;254;0.7219035
6096;24;254;0.39518175
