hour_of_the_year;hour_of_the_day;day;electricity_consumption
1801;1;76;0.4876765
1802;2;76;0.50600875
1803;3;76;0.379179
1804;4;76;0.2808475
1805;5;76;0.27008525
1806;6;76;0.275209
1807;7;76;0.66782425
1808;8;76;1.5069035
1809;9;76;0.79910025
1810;10;76;0.50753875
1811;11;76;0.39871775
1812;12;76;1.17791025
1813;13;76;0.63655975
1814;14;76;1.74002
1815;15;76;0.92275
1816;16;76;0.5916895
1817;17;76;0.68829525
1818;18;76;0.9070385
1819;19;76;0.454481
1820;20;76;0.82197975
1821;21;76;0.5638115
1822;22;76;0.50025375
1823;23;76;0.39941375
1824;24;76;0.386053
