hour_of_the_year;hour_of_the_day;day;electricity_consumption
5473;1;229;0.18348275
5474;2;229;0.192018
5475;3;229;0.19651225
5476;4;229;0.1966175
5477;5;229;0.197475
5478;6;229;0.271602
5479;7;229;0.35886825
5480;8;229;1.24705225
5481;9;229;0.82214625
5482;10;229;1.19173825
5483;11;229;0.57952675
5484;12;229;0.19422125
5485;13;229;0.19362725
5486;14;229;1.0010575
5487;15;229;0.19492875
5488;16;229;0.19500375
5489;17;229;0.1933235
5490;18;229;1.26181325
5491;19;229;0.59674525
5492;20;229;0.400083
5493;21;229;0.64174975
5494;22;229;0.54116325
5495;23;229;0.60036475
5496;24;229;0.252033
