hour_of_the_year;hour_of_the_day;day;electricity_consumption
3097;1;130;0.3423875
3098;2;130;0.21037775
3099;3;130;0.176134
3100;4;130;0.17989625
3101;5;130;0.27259875
3102;6;130;0.19310875
3103;7;130;0.215612
3104;8;130;0.20998975
3105;9;130;0.34993
3106;10;130;0.424004
3107;11;130;0.4188405
3108;12;130;0.40593175
3109;13;130;0.36459425
3110;14;130;0.179697
3111;15;130;0.17936625
3112;16;130;0.20027125
3113;17;130;0.25710525
3114;18;130;0.42469175
3115;19;130;0.422556
3116;20;130;0.37633325
3117;21;130;0.49231825
3118;22;130;0.37792775
3119;23;130;0.28591275
3120;24;130;0.41366425
