hour_of_the_year;hour_of_the_day;day;electricity_consumption
3385;1;142;0.5984505
3386;2;142;0.34719575
3387;3;142;0.2576255
3388;4;142;0.2757145
3389;5;142;0.25431625
3390;6;142;0.26824575
3391;7;142;0.30677275
3392;8;142;0.30271175
3393;9;142;0.41450775
3394;10;142;0.337214
3395;11;142;0.61990325
3396;12;142;0.46839525
3397;13;142;0.363508
3398;14;142;0.96149125
3399;15;142;0.988201
3400;16;142;0.488266
3401;17;142;1.1046805
3402;18;142;1.21976025
3403;19;142;0.93323625
3404;20;142;0.8296785
3405;21;142;0.6925395
3406;22;142;0.51822225
3407;23;142;0.4781725
3408;24;142;0.248851
