hour_of_the_year;hour_of_the_day;day;electricity_consumption
1729;1;73;0.2988115
1730;2;73;0.282906
1731;3;73;0.272725
1732;4;73;0.30893875
1733;5;73;0.2899795
1734;6;73;0.277286
1735;7;73;0.25487475
1736;8;73;0.2860495
1737;9;73;0.4401005
1738;10;73;0.3910335
1739;11;73;0.26801225
1740;12;73;0.2978685
1741;13;73;1.030922
1742;14;73;1.3166285
1743;15;73;0.504775
1744;16;73;0.50661425
1745;17;73;0.51538725
1746;18;73;1.0305525
1747;19;73;1.01038175
1748;20;73;0.78186925
1749;21;73;1.14604075
1750;22;73;0.68597225
1751;23;73;0.64517475
1752;24;73;0.57596575
