hour_of_the_year;hour_of_the_day;day;electricity_consumption
7801;1;326;0.26585325
7802;2;326;0.2532395
7803;3;326;0.25604475
7804;4;326;0.3017375
7805;5;326;0.28215925
7806;6;326;0.27419475
7807;7;326;0.324561
7808;8;326;0.38289275
7809;9;326;0.40091875
7810;10;326;0.56817625
7811;11;326;0.57710575
7812;12;326;0.50502125
7813;13;326;0.8738445
7814;14;326;0.468135
7815;15;326;0.28823375
7816;16;326;0.3751755
7817;17;326;0.62153525
7818;18;326;1.40209725
7819;19;326;0.80426725
7820;20;326;0.77117075
7821;21;326;1.06420175
7822;22;326;0.594419
7823;23;326;0.510024
7824;24;326;0.506955
