hour_of_the_year;hour_of_the_day;day;electricity_consumption
1225;1;52;0.49131575
1226;2;52;0.4995825
1227;3;52;0.3858
1228;4;52;0.2952505
1229;5;52;0.29152525
1230;6;52;0.376917
1231;7;52;0.82622225
1232;8;52;0.40851825
1233;9;52;0.36616625
1234;10;52;0.49011825
1235;11;52;0.50020975
1236;12;52;0.59812475
1237;13;52;0.2903075
1238;14;52;0.4014
1239;15;52;0.4784945
1240;16;52;0.65738225
1241;17;52;0.6508325
1242;18;52;1.02459625
1243;19;52;0.9483745
1244;20;52;0.95948325
1245;21;52;1.43453
1246;22;52;0.7650255
1247;23;52;0.41272125
1248;24;52;0.35603125
