hour_of_the_year;hour_of_the_day;day;electricity_consumption
1465;1;62;0.32598275
1466;2;62;0.28599525
1467;3;62;0.2901785
1468;4;62;0.27377875
1469;5;62;0.2813755
1470;6;62;0.28274325
1471;7;62;0.38516875
1472;8;62;0.3683185
1473;9;62;0.285016
1474;10;62;0.2855435
1475;11;62;0.2878425
1476;12;62;0.2875215
1477;13;62;0.4945965
1478;14;62;0.42529725
1479;15;62;0.7249565
1480;16;62;0.65047775
1481;17;62;0.76936675
1482;18;62;0.8109405
1483;19;62;0.7004115
1484;20;62;1.08440925
1485;21;62;0.983174
1486;22;62;1.49996225
1487;23;62;1.40028275
1488;24;62;0.563648
